"TIPUS";"X";"Y";"lon";"lat"
"JI";"484662,25120000000";"4645900,13320000004";"2,81489948";"41,96493881"
"JI";"484223,24089999899";"4646918,20619998965";"2,80957430";"41,97409893"
"JI";"485154,71700000000";"4647820,22819998953";"2,82078849";"41,98224103"
"JI";"487018,58130000002";"4646993,28479999024";"2,84330769";"41,97482543"
"JI";"486588,37969999900";"4646061,26750000007";"2,83813887";"41,96642401"
"JI";"485416,44880000001";"4646681,47109999042";"2,82397942";"41,97198734"
"JI";"485445,67389999900";"4650351,39740000013";"2,82423853";"42,00504225"
"PS";"483909,36829999898";"4649436,26180000044";"2,80571546";"41,99677130"
"JI";"485943,36499999900";"4648616,49990000017";"2,83029371";"41,98942480"
"JI";"485649,87530000001";"4647399,36510000005";"2,82677406";"41,97845840"
"JI";"486821,47899999900";"4646710,29719998967";"2,84093625";"41,97227328"
"JI";"484985,47210000001";"4646250,31149998959";"2,81878852";"41,96809737"
"PS";"485418,47739999898";"4646807,30889999028";"2,82400043";"41,97312221"
"PS";"485611,48139999900";"4647261,30810000002";"2,82631876";"41,97721479"
"JI";"483686,47090000001";"4646376,32239998970";"2,80310788";"41,96920639"
"JI";"483536,47779999900";"4647245,32519998960";"2,80127322";"41,97703006"
"PS";"485401,51070000097";"4650861,31610000040";"2,82369452";"42,00963481"
"PS";"486349,49390000000";"4648617,30439998955";"2,83519520";"41,98944094"
"JI";"483459,48950000003";"4648693,32830000017";"2,80030306";"41,99007006"
"PS";"483904,15850000002";"4647244,63179999031";"2,80571513";"41,97702865"
"JI";"485114,69439999899";"4648237,64599999040";"2,82029507";"41,98599605"
"JI";"487126,17780000000";"4646417,30599998962";"2,84462385";"41,96963936"
"PS";"485344,55499999900";"4645150,98790000007";"2,82314856";"41,95819677"
"JI";"485251,05109999899";"4650639,14369998965";"2,82188863";"42,00763255"
"JI";"486540,99579999899";"4652452,70340000000";"2,83741316";"42,02398462"
"JI";"484967,16769999900";"4646959,18549999036";"2,81855317";"41,97448275"
"JI";"483513,69770000002";"4647072,51510000043";"2,80100046";"41,97547143"
"JI";"484661,50040000002";"4647077,63289999031";"2,81485672";"41,97553964"
"JI";"484706,23999999900";"4647541,08370000031";"2,81538780";"41,97971960"
"PS";"485162,66670000000";"4649239,88310000021";"2,82084923";"41,99502160"
"JI";"484793,67430000001";"4646541,83990000002";"2,81646382";"41,97071463"
"JI";"483915,35100000002";"4649437,91669998970";"2,80578788";"41,99678043"
"JI";"484231,28659999900";"4647316,86330000032";"2,80966019";"41,97768374"
"JI";"484713,00459999900";"4647244,91420000046";"2,81548002";"41,97704476"
"JI";"485502,87449999899";"4648546,99199999031";"2,82497139";"41,98878634"
"JI";"485521,01520000002";"4647715,02309998963";"2,82522124";"41,98130216"
"PS";"484695,00520000001";"4648213,46999999043";"2,81523752";"41,98577186"
"PS";"483674,47749999899";"4647188,32390000019";"2,80294051";"41,97651955"
"PS";"486480,52649999899";"4646211,48450000025";"2,83683205";"41,96777317"
"JI";"485163,77409999899";"4649378,53340000007";"2,82085779";"41,99627354"
